#,chapter_number,chapter_title,section_number,section_title,lo_id,lo_title,lo_description,section_page_folio
1,I,Introduction,I.1,Why Study Psychology?,I.1.1,Explain how studying psychology will help you in your personal and professional life,"Two broad categories of learning relate to content (that is, the subject matter) and skills. Psychology students learn a variety of skills during their studies, including research skills, critical thinking skills, cultural awareness skills, communication skills, and personal skills. All of these can be useful at work or in your personal life. The study of psychology will also prepare you for many potentially rewarding careers. Some of those exist within the field of psychology, but the skills learned in a psychology degree can also be applied to a wide range of other career paths.",4
12,1,The Foundations of Psychological Science,1.4,Contemporary Psychological Science and the Biopsychosocial Model,1.4.2,Explain the advantages of the biopsychosocial model for explaining complex behavior,"The biopsychosocial model holds that human behavior and mental processes are best understood by combining insights from biology (including biopsychology and evolutionary psychology), psychology (including motivation, thinking, personality, perception, and language), and the social world (including culture, access to education, and poverty). Because it considers the three perspectives simultaneously, it is better able to explain complex human behavior (such as eating disorders) and the full range of human diversity.",24
13,1,The Foundations of Psychological Science,1.4,Contemporary Psychological Science and the Biopsychosocial Model,1.4.3,Explain why early psychological research was prone to gender and culture bias,"Gender bias was inadvertently introduced into psychological research because most early psychologists were Caucasian men, and because the participants in much of the early research were men. Similarly, culture bias stems from an overreliance on research participants who are from WEIRD (Western, Educated, Industrialized, Rich, and Democratic) societies.",24
14,1,The Foundations of Psychological Science,1.5,The Core Features of Psychological Science,1.5.1,Explain the goals of contemporary psychology,"Psychologists’ goals are description (name and classify behavior through detailed records), understanding (state causes of behavior), prediction (forecast behavior), and control (alter conditions that influence behavior).",28
15,1,The Foundations of Psychological Science,1.5,The Core Features of Psychological Science,1.5.2,"Define critical thinking, and identify the five principles of critical thinking",Critical thinking in psychology is a type of open-minded reflection involving the support of beliefs with scientific explanation and observation. It requires: 1) performing logical analysis/empirical testing; 2) refusing to believe information based on claimed expertise; 3) evaluating the quality of the evidence; 4) evaluating evidence for and against the claim with an open mind; 5) seeking to falsify claims.,28
16,1,The Foundations of Psychological Science,1.5,The Core Features of Psychological Science,1.5.3,Outline the six steps of the scientific method,1) Make observations; 2) Define the problem; 3) Propose a hypothesis; 4) Gather evidence/test hypothesis; 5) Build theory; 6) Publish results.,28
17,1,The Foundations of Psychological Science,1.5,The Core Features of Psychological Science,1.5.4,"Describe three types of data gathered by psychological scientists, including the challenges faced by psychologists who use them","1) Self-report (interviews, tests, questionnaires, surveys): may suffer from unrepresentative samples and socially desirable responding. 2) Observational (naturalistic and structured observation): can be affected by observer effect and observer bias. 3) Physiological (heart rate, brain activity, hormones): often expensive, require specialized equipment, and are indirect assessments of target variables.",28
18,1,The Foundations of Psychological Science,1.6,Experimental Research: Where Cause Meets Effect,1.6.1,"Differentiate between independent, dependent, and extraneous variables in an experiment",Independent variables are controlled by the researcher (participants are randomly assigned to levels) and are considered the “cause.” Dependent variables are measured outcomes—the “effect.” Extraneous variables are other factors that may influence the dependent variable; researchers attempt to hold them constant across groups.,36
19,1,The Foundations of Psychological Science,1.6,Experimental Research: Where Cause Meets Effect,1.6.2,Explain how experiments allow psychological scientists to make statements about cause and effect,Experiments compare groups that differ only on the independent variable. Random assignment promotes group equivalence; extraneous variables are held constant. Differences on the dependent variable can then be attributed to the independent variable.,36
20,1,The Foundations of Psychological Science,1.6,Experimental Research: Where Cause Meets Effect,1.6.3,Outline how psychological scientists evaluate the results of an experiment,Results should be statistically significant (unlikely due to chance). Replication strengthens confidence in findings.,36
21,1,The Foundations of Psychological Science,1.6,Experimental Research: Where Cause Meets Effect,1.6.4,"Describe two problems associated with experiments, and how they can be controlled","1) Research participant bias (e.g., placebo effect): controlled with placebos and single-blind procedures. 2) Researcher bias: controlled with double-blind procedures so neither participants nor data collectors know group assignments.",36
22,1,The Foundations of Psychological Science,1.7,Nonexperimental Research: Losing (a Bit of) Control,1.7.1,Differentiate between quasi-experiments and true experiments,"Both compare groups on a dependent variable, but quasi-experiments lack random assignment (often for ethical or practical reasons), so they cannot establish cause and effect.",41
23,1,The Foundations of Psychological Science,1.7,Nonexperimental Research: Losing (a Bit of) Control,1.7.2,"Explain what is meant by correlational research, and how the degree of association between two variables is assessed in correlational research",Correlational research assesses the degree of association between variables using a correlation coefficient (−1.00 to +1.00). Magnitude reflects strength; the sign indicates direction (positive or negative).,41
24,1,The Foundations of Psychological Science,1.7,Nonexperimental Research: Losing (a Bit of) Control,1.7.3,Describe the conditions under which case studies are useful,Case studies (in-depth analyses of one or a few individuals) are useful for investigating rare events or conditions.,41
25,1,The Foundations of Psychological Science,1.8,Psychology and Your Skill Set: Information Literacy,1.8.1,Name six ways that people can critically evaluate information found in the popular press and on social media,1) Consider the source; read laterally. 2) Beware of poor or cherry-picked information. 3) Consider alternative explanations and chance. 4) Check for control groups in reported studies. 5) Distinguish correlation from causation. 6) Beware of oversimplifications.,45
26,1,The Foundations of Psychological Science,1.8,Psychology and Your Skill Set: Information Literacy,1.8.2,Create a plan to analyze and evaluate information that you are exposed to in the popular press and on social media,Use the suggested steps to evaluate information so you can feel confident assessing what you see and read across sources.,45
27,2,Brain and Behavior,2.1,The Nervous System,2.1.1,Outline the major divisions of the nervous system,The nervous system divides into the CNS (brain for most “computing”; spinal cord linking brain to PNS) and the PNS. The PNS includes the somatic system (sensory input to brain; motor commands to body) and the autonomic system (sympathetic and parasympathetic branches).,54
28,2,Brain and Behavior,2.1,The Nervous System,2.1.2,Identify the important parts of a neuron,Dendrites receive incoming messages; the cell body integrates them; the axon carries impulses away; axon terminals pass signals to adjacent neurons.,54
29,2,Brain and Behavior,2.1,The Nervous System,2.1.3,Describe how neurons operate and communicate with each other,"Neural input at dendrites and soma triggers an electrical action potential that travels down the axon to terminals. Between neurons, communication is chemical: neurotransmitters cross the synapse to receptors, exciting or inhibiting the next cell; neuropeptides modulate synaptic activity.",54
30,2,Brain and Behavior,2.1,The Nervous System,2.1.4,Distinguish between neuroplasticity and neurogenesis,Neuroplasticity is the brain’s capacity to change with experience. Neurogenesis is the production of new neurons in the brain (while many PNS nerves can regenerate).,54
31,2,Brain and Behavior,2.2,Brain Research,2.2.1,Identify three methods that scientists use to understand the structures of the brain,Brain structure can be studied via dissection and noninvasive imaging (CT; MRI).,60
32,2,Brain and Behavior,2.2,Brain Research,2.2.2,Identify four methods that scientists use to understand the function of brain structures,"Brain function can be studied through surgical methods (electrical stimulation, ablation, deep lesioning) and noninvasive techniques (EEG, PET, fMRI).",60
33,2,Brain and Behavior,2.3,The Cerebral Cortex,2.3.1,Explain how the left and right hemispheres of the cerebral cortex differ as a result of lateralization,"Split-brain research shows specialization: the left hemisphere is analytic, sequential, and language-focused (writing, calculating, timing, complex movements); the right processes information holistically and nonverbally (spatial/perceptual skills, visualization, pattern/face/melody recognition). People are not literally “left-brained” or “right-brained.”",64
34,2,Brain and Behavior,2.3,The Cerebral Cortex,2.3.2,Name the four lobes of the cerebral cortex and describe their function,Frontal: primary motor area (incl. mirror neurons) and association areas; prefrontal supports abstract thought and self. Parietal: primary sensory area for bodily sensations. Temporal: primary auditory area; hearing and language. Occipital: primary visual area; first cortical input from eyes.,64
35,2,Brain and Behavior,2.4,The Subcortex and Endocrine System,2.4.1,"Name the three major regions of the subcortex, and the parts that make up each one","Hindbrain: medulla (vital reflexes), reticular formation (activating system), cerebellum (coordination, posture, tone), pons (links medulla to other areas). Midbrain connects hindbrain and forebrain; with pons and medulla forms the brainstem. Forebrain: thalamus (sensory relay), hypothalamus (basic motives/physiology), limbic system (emotion, reward/punishment) incl. hippocampus (memory).",71
36,2,Brain and Behavior,2.4,The Subcortex and Endocrine System,2.4.2,"Explain how the endocrine system works, and describe the action of four endocrine glands","Endocrine glands release hormones into blood, influencing behavior, mood, and personality; many are regulated by the pituitary, which is influenced by the hypothalamus. Examples: pituitary (growth hormone; oxytocin; “master” control), pineal (melatonin; body clock), thyroid (metabolism), adrenal (epinephrine/norepinephrine; stress response; sexual development).",71
37,2,Brain and Behavior,2.5,Psychology and Your Skill Set: Self-Regulation,2.5.1,"Define self-regulation, and explain how it can help you in your personal and professional life","Self-regulation—governed by frontal-lobe executive functions—is the ability to control thoughts, emotions, and behavior to pursue goals; in childhood it predicts health, antisocial/criminal behavior, and financial security.",76
38,2,Brain and Behavior,2.5,Psychology and Your Skill Set: Self-Regulation,2.5.2,Create a plan to improve your self-regulation skills in an area that is important to you,"Improve self-regulation by adjusting attention (what you focus on), cognitions (how you interpret situations), and environments (structuring contexts to reduce temptations); apply these to maintain focus and resist impulses to reach goals.",76
39,3,Human Development,3.1,The Forces That Shape Development: Nature and Nurture,3.1.1,Explain how genes impact human development,"Genes reside on deoxyribonucleic acid (DNA) in the nucleus of each cell. The DNA is twisted into chromosomes, and the DNA in each of the body’s cells is identical. The genes in each cell carry hereditary instructions. Most characteristics are polygenic and reflect the combined effects of dominant and recessive genes.",84
40,3,Human Development,3.1,The Forces That Shape Development: Nature and Nurture,3.1.2,Explain how the environment impacts human development,"Prenatal development is influenced by intrauterine environmental factors, such as various teratogens, including diseases, drugs, and radiation, as well as the mother’s diet, health, and emotions. After birth, a variety of environmental factors (access to good food and health care, schooling, family members, peer groups, media, and so on) contribute to the child’s development; environments that are deprived will hamper development while enriched environments will optimize it.",84
41,3,Human Development,3.1,The Forces That Shape Development: Nature and Nurture,3.1.3,Explain how epigenetic factors impact human development,"Though the genetic instructions in every cell are the same, those instructions can be “read” differently depending on epigenetic markers that are the product of environmental influences. For this reason, developmental psychologists say that heredity (nature) and environment (nurture) are interacting forces that are both necessary for human development.",84
42,3,Human Development,3.2,Physical and Perceptual Development,3.2.1,Describe key aspects of physical development across the lifespan,"Physical development tends to look similar across people, as evidenced by common infant reflexes and physical development that proceeds in a cephalocaudal and proximodistal manner. Physical changes that characterize puberty (e.g., development of sex characteristics) and adulthood (e.g., muscle and bone weakness) are also relatively similar across individuals. Though such similarities suggest an important role for “nature” or genetic factors, environmental factors (e.g., opportunities to practice motor skills in infancy; maintaining a healthy lifestyle in adulthood) also contribute to physical development.",89
43,3,Human Development,3.2,Physical and Perceptual Development,3.2.2,Explain key aspects of perceptual development across the lifespan,"While most of our senses (hearing, taste, touch, smell) are well developed at birth, infants’ vision is not as good as that of older children and adults. However, environmental stimulation and maturation of the visual system lead to rapid improvements, such that babies will see as well as adults by the age of one year. Depending on environmental factors (e.g., reading in poor light; listening to loud music), declines in perception (hearing loss; poor vision) may be seen as early as adolescence, and continue in adulthood.",89
44,3,Human Development,3.3,Emotional and Social Development,3.3.1,Describe key aspects of emotional development across the lifespan,"Basic emotions emerge very early in childhood and include happiness, sadness, fear, anger, surprise, and disgust. In contrast, some complex emotions such as embarrassment, shame, guilt, and pride require a sense of the self as separate from others and thus do not develop until later (approximately 18 months). Emotions are often more intense in adolescence than they were in childhood. Though positive emotions are common, survey data suggest that recent generations of adolescents appear to be managing higher levels of sadness (depression) and fear (anxiety) than has been the case in the past. In terms of adulthood, there is little truth to the common adage that all adults experience an emotional midlife crisis. Instead, adulthood—and particularly older adulthood—is often characterized by high levels of positive emotion that may be related to the positivity effect (the tendency to pay attention to, and remember, more positive than negative information). Aging is also associated with an improved ability to regulate emotions. Some negative emotions, including anger and despair, appear to characterize the response to imminent death, though such responses are by no means universal.",92
45,3,Human Development,3.3,Emotional and Social Development,3.3.2-a,"Describe key aspects of social development across the lifespan, including Erikson’s eight psychosocial dilemmas","Erik Erikson identified a series of specific psychosocial dilemmas that occur as we age. Successful resolution of the dilemmas produces healthy development, whereas unsuccessful outcomes make it harder to deal with later crises. In order, the dilemmas are: trust vs. mistrust, autonomy vs. shame/doubt, initiative vs. doubt, industry vs. inferiority, identity vs. role confusion, intimacy vs. isolation, generativity vs. stagnation, and integrity vs. despair.",92
46,3,Human Development,3.3,Emotional and Social Development,3.3.2-b,"Describe key aspects of social development across the lifespan, including the importance of temperament and attachment in childhood","While it is clear that parents have an important role in shaping the quality of relationships, infants also make a contribution. In particular, infants’ temperament (which can be classed as easy, difficult, or slow-to-warm-up) influences caregivers’ responses to them. Research suggests that infants’ attachment to their caregivers is associated with their feelings of security and confidence that the caregiver will help them in times of stress. The quality of attachment can be classified as secure, insecure-avoidant, or insecure-ambivalent. Good-quality relationships are promoted when caregivers are sensitive to their babies’ signals. Whereas mothers typically emphasize caregiving, fathers tend to function as playmates for infants.",92
47,3,Human Development,3.3,Emotional and Social Development,3.3.2-c,"Describe key aspects of social development across the lifespan, including parenting styles and how they differ across cultures","Studies suggest that parental styles have a substantial impact on emotional and intellectual development. Three major parental styles are authoritarian, permissive, and authoritative (effective). Authoritative parenting, relying more on management techniques rather than power assertion or withdrawal of love, appears to benefit children the most, though this conclusion is most likely to hold true in Western countries. Other parenting styles may be more advantageous in other cultures.",92
48,3,Human Development,3.3,Emotional and Social Development,3.3.2-d,"Describe key aspects of social development across the lifespan, including the characteristics of emerging adults’ and older adults’ social networks","Relationships outside the family become increasingly important during adolescence, and parents often support their children’s identity explorations into their twenties. This extended adolescence is referred to as emerging adulthood, and it is most characteristic of wealthy nations. Social networks expand in middle adulthood but diminish in size in older adulthood. This reduction in size appears to be, at least to some extent, a function of older adults actively choosing to prune their networks and socialize only with people whose company they enjoy.",92
49,3,Human Development,3.4,"Language, Cognitive, and Moral Development",3.4.1,Describe key aspects of language development across the lifespan,"Language development proceeds from crying to cooing, then babbling, to the use of single words, and then to telegraphic speech. The underlying patterns of telegraphic speech suggest a biological predisposition to acquire language. However, learning augments this innate tendency. In particular, both prelanguage communication between parent and child (which involves shared rhythms, nonverbal signals, and turn-taking) and motherese/parentese (a simplified, musical style of speaking that parents use with very young children) help with language learning.",101
50,3,Human Development,3.4,"Language, Cognitive, and Moral Development",3.4.2-a,"Describe key aspects of cognitive development across the lifespan, including the central ideas that underlie Piaget’s theory of development","Piaget believed that children go through a fixed series of cognitive stages. The stages and their approximate age ranges are sensorimotor (0–2 years), preoperational (2–7 years), concrete operational (7–11 years), and formal operational (11 years–adult). Several concepts were important in his theory, including assimilation, accommodation, object permanence, egocentrism, and conservation. Assimilation refers to a situation in which children encounter something novel and can successfully integrate it with a concept (or schema) that they have already developed. Accommodation refers to a situation in which something novel does not fit into an existing schema and a new one must be established. Object permanence refers to children’s ability to understand that people and objects continue to exist even when they are no longer visible. Egocentrism refers to children’s inability to understand that the world looks different to other people. Egocentrism can relate to the physical world, when children fail to understand that people standing in other locations may not see what they can see from where they are situated. It may also relate to the mental world, when children do not understand that others have thoughts and feelings that differ from their own. When children begin to understand that others have their own unique thoughts and feelings we say that they have acquired a theory of mind. Conservation refers to the understanding that physical quantities stay the same even if they change their shape or appearance. At least three criticisms of Piaget’s work have emerged more recently. First, contrary to Piaget’s ideas, many psychologists now believe that cognitive development proceeds in a more gradual manner rather than in sharply defined stages. Second, more recent research suggests that children acquire cognitive milestones earlier than Piaget believed. Finally, researchers have suggested that Piaget may have underestimated the role of the environment (including culture) in guiding cognitive development.",101
51,3,Human Development,3.4,"Language, Cognitive, and Moral Development",3.4.2-b,"Describe key aspects of cognitive development across the lifespan, including the central ideas that underlie Vygotsky’s theory of cognitive development","Lev Vygotsky’s sociocultural theory places a particular emphasis on the role of culture and the environment in guiding cognitive development. In particular, he stressed that a child’s mental abilities are advanced by interactions with more-competent partners. Mental growth takes place in a child’s zone of proximal development, where a more skillful person may scaffold the child’s progress.",101
52,3,Human Development,3.4,"Language, Cognitive, and Moral Development",3.4.2-c,"Describe key aspects of cognitive development across the lifespan, including the focus of more recent work","More recent work in the area of cognitive development has focused on areas such as executive functions, mastery of academic subjects, memory, and intelligence.",101
53,3,Human Development,3.4,"Language, Cognitive, and Moral Development",3.4.3,"Describe key aspects of moral development across the lifespan, including Kohlberg’s three stages of moral development and Carol Gilligan’s criticism of this theory","Kohlberg’s theory included the following stages: Preconventional—moral thinking is guided by consequences (e.g., reward, punishment). Conventional—moral thinking is guided by a desire to please others or follow rules. Postconventional—moral thinking is guided by self-chosen ethical principles. Young children function at the preconventional level. Most people function at the conventional level of morality, but some never get beyond the preconventional level. Only a minority of people attain the highest, or postconventional, level of moral reasoning. Carol Gilligan distinguished between Kohlberg’s fairness (justice) perspective and a harm (caring) perspective. Because Kohlberg’s theory placed a high value on justice, she argued that women—who reason more frequently from a caring perspective—wrongly appeared to demonstrate less moral maturity than men. Now, most researchers believe that mature adult morality likely involves reasoning from both perspectives, and cultural research suggests that there may also be other moral foundations that underlie people’s values.",101
54,3,Human Development,3.5,Psychology and Your Skill Set: Ethical Behavior,3.5.1,Create a plan to manage a challenge to your own values,"Challenges to your ability to behave ethically can be managed by recognizing the potential for everyday ethical challenges, considering the conditions that will help or hinder ethical behavior in the face of those challenges, creating a plan for managing ethical challenges that are likely to occur, and working to counteract the tendency of others to behave in unethical ways. We hope that after reading this section, you’ll be better able to think about how you can use these strategies to help when you need to manage the everyday threats to your values!",110
55,4,"Sensation, Attention, and Perception",4.1,Sensation,4.1.1,"Define sensation and transduction, and outline what happens in the sensory organs during transduction","Sensation gathers information from the world via the sense organs and sends it to the brain. Transduction converts environmental energy into neural signals: eyes/ears/skin/tongue transduce light (electromagnetic), sound (mechanical), and other energies into electrical activity (action potentials) the brain can interpret.",118
56,4,"Sensation, Attention, and Perception",4.1,Sensation,4.1.2,Distinguish between absolute threshold and difference threshold,Absolute threshold: the minimum stimulus intensity detected 50% of the time. Difference threshold: the minimum difference between two stimuli detected 50% of the time.,118
57,4,"Sensation, Attention, and Perception",4.1,Sensation,4.1.3,Identify four ways by which the senses reduce the amount of information sent to the brain,"The senses limit input via: absence of specific transducers, restricted ranges of transducers, sensory adaptation, and feature detection—preventing overload of the brain.",118
58,4,"Sensation, Attention, and Perception",4.2,Vision,4.2.1,Describe three characteristics of light that are processed by the eye,"The eye encodes hue (wavelength/frequency), saturation (bandwidth of wavelengths), and brightness (amplitude).",121
59,4,"Sensation, Attention, and Perception",4.2,Vision,4.2.2,"Outline what is meant by accommodation in the eye, and the conditions that result from problems with accommodation","Accommodation is lens-based focusing. Common defects from focusing problems include myopia, hyperopia, presbyopia, and astigmatism.",121
60,4,"Sensation, Attention, and Perception",4.2,Vision,4.2.3,"Describe the process of transduction in the eye, and two problems associated with color vision","Retinal photoreceptors: rods support peripheral/night/black–white/motion; cones support color, acuity, daylight vision. Color vision issues include color blindness (cannot perceive color) and color weakness (cannot see certain colors).",121
61,4,"Sensation, Attention, and Perception",4.2,Vision,4.2.4,Contrast the trichromatic and opponent-process theories of color vision,"Trichromatic theory: three cone types (red, blue, green pigments) generate retinal signals. Opponent-process theory: post-retinal coding (e.g., at the optic nerve) uses opponent channels to explain color perception beyond the retina.",121
62,4,"Sensation, Attention, and Perception",4.3,Hearing,4.3.1,Describe two characteristics of sound that are processed by the ear,Pitch corresponds to frequency; loudness corresponds to amplitude of the sound wave.,127
63,4,"Sensation, Attention, and Perception",4.3,Hearing,4.3.2,"Describe the process of transduction in the ear, and two associated forms of hearing loss","Sound waves vibrate the eardrum, ossicles, and oval window, driving cochlear fluid; hair cells transduce movement into action potentials. Hearing loss: conductive (impaired transfer to inner ear) and sensorineural (hair cell/auditory nerve damage); noise-induced loss is a common sensorineural type.",127
64,4,"Sensation, Attention, and Perception",4.3,Hearing,4.3.3,Contrast the frequency and place theory of hearing pitch,"Frequency theory (pitch = firing rate) explains tones up to ~4,000 Hz; place theory (pitch = location of maximal cochlear excitation) explains higher tones above ~4,000 Hz.",127
65,4,"Sensation, Attention, and Perception",4.4,Chemical and Somesthetic Senses,4.4.1,Name the two chemical senses and three somesthetic senses,"Chemical: olfaction (smell), gustation (taste). Somesthetic: touch, vestibular (balance), kinesthetic (body position).",131
66,4,"Sensation, Attention, and Perception",4.4,Chemical and Somesthetic Senses,4.4.2,Describe the process of transduction in the nose,Olfactory receptors on nerve fibers bind airborne molecules; lock-and-key matching between receptor “holes” and molecule shapes triggers action potentials. Receptor location patterns aid odor identification.,131
67,4,"Sensation, Attention, and Perception",4.4,Chemical and Somesthetic Senses,4.4.3,Describe the process of transduction on the tongue,"Five basic tastes: sweet, salty, sour, bitter, umami. Sweet/bitter/umami use lock-and-key receptor matching; salty/sour involve direct ion flow into receptors—both routes trigger action potentials.",131
68,4,"Sensation, Attention, and Perception",4.4,Chemical and Somesthetic Senses,4.4.4,"Describe the process of transduction on the skin, including the function of large and small nerve fibers in the sensation of pain",Specialized skin receptors (and free endings) generate action potentials for touch and pain. Large fibers signal “warning pain” (acute harm); small fibers signal “reminding pain” (ongoing/old injury).,131
69,4,"Sensation, Attention, and Perception",4.4,Chemical and Somesthetic Senses,4.4.5,Describe the process of transduction in the vestibular system,Otolith organs detect gravity/acceleration/movement via hair cells; semicircular canal fluid motion stimulates hair cells—both generate action potentials supporting balance.,131
70,4,"Sensation, Attention, and Perception",4.4,Chemical and Somesthetic Senses,4.4.6,Define multimodal integration,The brain integrates simultaneous inputs from multiple senses to build coherent perceptions.,131
71,4,"Sensation, Attention, and Perception",4.5,Attention,4.5.1,Explain what research on multitasking has indicated with respect to the limits on attention,Attention is limited; we usually switch rapidly between tasks rather than do two at once. Switching is easier when at least one task is well practiced.,136
72,4,"Sensation, Attention, and Perception",4.5,Attention,4.5.2,Identify four factors that influence whether we will pay attention to a stimulus,"We attend more to stimuli that are intense, unexpected, personally important, or goal-relevant.",136
73,4,"Sensation, Attention, and Perception",4.5,Attention,4.5.3,Describe the positive and negative effects of mind-wandering,"Turning attention inward reduces responsiveness to the environment (e.g., accidents, poor learning), but can enhance creativity, relieve boredom, and support future planning.",136
74,4,"Sensation, Attention, and Perception",4.6,Perception,4.6.1,Describe the relationship between sensation and perception,Sensation gathers input; perception interprets it—brain-based processing assigns meaning to sensed information.,139
75,4,"Sensation, Attention, and Perception",4.6,Perception,4.6.2,Contrast bottom-up and top-down processing,Bottom-up: assemble perceptions from sensory features. Top-down: apply prior knowledge to organize features (seen in figure–ground organization and ambiguous/reversible figures).,139
76,4,"Sensation, Attention, and Perception",4.6,Perception,4.6.3,Explain how both sensory transduction and experience contribute to similarities and differences in perception,"Similarities arise from common transduction and shared experiences that yield perceptual constancies (size, shape, brightness). Differences stem from atypical transduction (genetics, trauma, aging) and varying prior assumptions (e.g., lighting defaults in #thedress) and cultural backgrounds.",139
77,4,"Sensation, Attention, and Perception",4.6,Perception,4.6.4,Describe the effects of culture on the perception of the Müller-Lyer illusion,"Western experience with corners/edges enhances the illusion; groups with little exposure to straight-edged architecture (e.g., San of the Kalahari) show reduced susceptibility.",139
78,4,"Sensation, Attention, and Perception",4.6,Perception,4.6.5,"Differentiate between monocular and binocular depth cues, giving examples of each","Binocular: retinal disparity, convergence. Monocular: accommodation and pictorial cues—linear perspective, relative size, height in picture plane, light/shadow, overlap, texture gradients, motion parallax.",139
79,4,"Sensation, Attention, and Perception",4.6,Perception,4.6.6,Explain how depth cues are used in the world of art and by clinical psychologists using virtual reality to treat clients,"Artists use monocular pictorial cues to create depth on flat surfaces; VR designers use the same cues to build realistic environments. Clinicians employ VR to treat problems (notably substance use and anxiety), gradually adjusting conditions during therapy.",139
80,4,"Sensation, Attention, and Perception",4.7,Psychology and Your Skill Set: Effective Communication,4.7.1,Distinguish between verbal and nonverbal communication,"Nonverbal: perceptions of others’ tone, body language, eye contact. Verbal: words themselves.",150
81,4,"Sensation, Attention, and Perception",4.7,Psychology and Your Skill Set: Effective Communication,4.7.2,Outline two verbal communication methods and two verbal communication points of view,"Methods: oral and written. Points of view: providing information and receiving information. Skills to develop across these: speaking, listening, writing, reading.",150
