noba_lo_id,group_number,group_module_order,group_title,module_number,module_title,lo_number,learning_objective
1.7.3,1,7,Psychology As Science,7,History of Psychology,3,Describe the rise of professional psychology in America.
1.7.4,1,7,Psychology As Science,7,History of Psychology,4,Develop a basic understanding of the processes of scientific development and change.
1.7.5,1,7,Psychology As Science,7,History of Psychology,5,Recognize the role of women and people of color in the history of American psychology.
1.8.1,1,8,Psychology As Science,8,The Replication Crisis in Psychology,1,Explain the difference between exact and conceptual replication
1.8.2,1,8,Psychology As Science,8,The Replication Crisis in Psychology,2,List 4 explanations for non-replication
1.8.3,1,8,Psychology As Science,8,The Replication Crisis in Psychology,3,Name 3 potential solutions to the replication crisis
2.9.1,2,1,Biological Basis of Behavior,9,Neurons,1,"Differentiate the functional roles between the two main cell classes in the brain, neurons and glia."
2.9.2,2,1,Biological Basis of Behavior,9,Neurons,2,Describe how the forces of diffusion and electrostatic pressure work collectively to facilitate electrochemical communication.
2.9.3,2,1,Biological Basis of Behavior,9,Neurons,3,"Define resting membrane potential, excitatory postsynaptic potentials, inhibitory postsynaptic potentials, and action potentials."
2.9.4,2,1,Biological Basis of Behavior,9,Neurons,4,Explain features of axonal and synaptic communication in neurons.
2.10.1,2,2,Biological Basis of Behavior,10,The Nervous System,1,Describe and understand the development of the nervous system.
2.10.2,2,2,Biological Basis of Behavior,10,The Nervous System,2,Learn and understand the two important parts of the nervous system.
2.10.3,2,2,Biological Basis of Behavior,10,The Nervous System,3,Explain the two systems in the peripheral nervous system and what you know about the different regions and areas of the central nervous system.
2.10.4,2,2,Biological Basis of Behavior,10,The Nervous System,4,Learn and describe different techniques of studying the nervous system. Understand which
2.11.1,2,3,Biological Basis of Behavior,11,The Brain,1,"Name and describe the basic function of the brain stem, cerebellum, and cerebral hemispheres."
2.11.2,2,3,Biological Basis of Behavior,11,The Brain,2,"Name and describe the basic function of the four cerebral lobes: occipital, temporal, parietal, and frontal cortex."
2.11.3,2,3,Biological Basis of Behavior,11,The Brain,3,Describe a split-brain patient and at least two important aspects of brain function that these patients reveal.
2.11.4,2,3,Biological Basis of Behavior,11,The Brain,4,Distinguish between gray and white matter of the cerebral hemispheres.
2.11.5,2,3,Biological Basis of Behavior,11,The Brain,5,Name and describe the most common approaches to studying the human brain.
2.11.6,2,3,Biological Basis of Behavior,11,The Brain,6,"Distinguish among four neuroimaging methods: PET, fMRI, EEG, and DOI."
2.11.7,2,3,Biological Basis of Behavior,11,The Brain,7,Describe the difference between spatial and temporal resolution with regard to brain function.
2.12.1,2,4,Biological Basis of Behavior,12,The Brain and Nervous System,1,Name the various parts of the nervous system and their respective functions
2.12.2,2,4,Biological Basis of Behavior,12,The Brain and Nervous System,2,Explain how neurons communicate with each other
2.12.3,2,4,Biological Basis of Behavior,12,The Brain and Nervous System,3,Identify the location and function of the limbic system
2.12.4,2,4,Biological Basis of Behavior,12,The Brain and Nervous System,4,Articulate how the primary motor cortex is an example of brain region specialization
2.12.5,2,4,Biological Basis of Behavior,12,The Brain and Nervous System,5,Name at least three neuroimaging techniques and describe how they work
2.13.1,2,5,Biological Basis of Behavior,13,Hormones & Behavior,1,Define the basic terminology and basic principles of hormone–behavior interactions.
2.13.2,2,5,Biological Basis of Behavior,13,Hormones & Behavior,2,Explain the role of hormones in behavioral sex differentiation.
2.13.3,2,5,Biological Basis of Behavior,13,Hormones & Behavior,3,Explain the role of hormones in aggressive behavior.
2.13.4,2,5,Biological Basis of Behavior,13,Hormones & Behavior,4,Explain the role of hormones in parental behavior.
2.13.5,2,5,Biological Basis of Behavior,13,Hormones & Behavior,5,Provide examples of some common hormone–behavior interactions.
2.14.1,2,6,Biological Basis of Behavior,14,Biochemistry of Love,1,Understand the role of Oxytocin in social behaviors.
2.14.2,2,6,Biological Basis of Behavior,14,Biochemistry of Love,2,Articulate the functional differences between Vasopressin and Oxytocin.
2.14.3,2,6,Biological Basis of Behavior,14,Biochemistry of Love,3,List sex differences in reaction to stress.
2.15.1,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,1,Learn what “evolution” means.
2.15.2,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,2,Define the primary mechanisms by which evolution takes place.
2.15.3,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,3,Identify the two major classes of adaptations.
2.15.4,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,4,Define sexual selection and its two primary processes.
2.15.5,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,5,Define gene selection theory.
2.15.6,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,6,Understand psychological adaptations.
2.15.7,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,7,Identify the core premises of sexual strategies theory.
2.15.8,2,7,Biological Basis of Behavior,15,Evolutionary Theories in Psychology,8,"Identify the core premises of error management theory, and provide two empirical examples of adaptive cognitive biases."
2.16.1,2,8,Biological Basis of Behavior,16,Epigenetics in Psychology,1,Explain what the term epigenetics means and the molecular machinery involved.
2.16.2,2,8,Biological Basis of Behavior,16,Epigenetics in Psychology,2,"Name and discuss important neural and developmental pathways that are regulated by epigenetic factors, and provide examples of epigenetic effects on personality traits and cognitive behavior."
2.16.3,2,8,Biological Basis of Behavior,16,Epigenetics in Psychology,3,"Understand how misregulation of epigenetic mechanisms can lead to disease states, and be able to discuss examples."
2.16.4,2,8,Biological Basis of Behavior,16,Epigenetics in Psychology,4,"Recognize how epigenetic machinery can be targets for therapeutic agents, and discuss"
2.17.1,2,9,Biological Basis of Behavior,17,The Nature-Nurture Question,1,Understand what the nature–nurture debate is and why the problem fascinates us.
2.17.2,2,9,Biological Basis of Behavior,17,The Nature-Nurture Question,2,Understand why nature–nurture questions are difficult to study empirically.
2.17.3,2,9,Biological Basis of Behavior,17,The Nature-Nurture Question,3,Know the major research designs that can be used to study nature–nurture questions.
2.17.4,2,9,Biological Basis of Behavior,17,The Nature-Nurture Question,4,Appreciate the complexities of nature–nurture and why questions that seem simple turn out not to have simple answers.
2.18.1,2,10,Biological Basis of Behavior,18,The Psychology of Human Sexuality,1,Explain how scientists study human sexuality.
2.18.2,2,10,Biological Basis of Behavior,18,The Psychology of Human Sexuality,2,Share a definition of human sexuality.
2.18.3,2,10,Biological Basis of Behavior,18,The Psychology of Human Sexuality,3,"Distinguish between sex, gender, and sexual orientation."
2.18.4,2,10,Biological Basis of Behavior,18,The Psychology of Human Sexuality,4,Review common and alternative sexual behaviors.
2.18.5,2,10,Biological Basis of Behavior,18,The Psychology of Human Sexuality,5,"Appraise how pleasure, sexual behaviors, and consent are intertwined."
2.19.1,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,1,Explain why people are curious about their own sexual anatomies and physiologies.
2.19.2,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,2,List the sexual organs of the female and male.
2.19.3,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,3,Describe the sexual response cycle.
2.19.4,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,4,Distinguish between pleasure and reproduction as motives behind sexuality.
2.19.5,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,5,Compare the central nervous system motivating sexual behaviors to the autonomic nervous system motivating sexual behaviors.
2.19.6,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,6,Discuss the relationship between pregnancy and birth control.
2.19.7,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,7,Analyze how sexually transmitted infections are associated with sexual behaviors.
2.19.8,2,11,Biological Basis of Behavior,19,Human Sexual Anatomy and Physiology,8,Understand the effects of sexual dysfunctions and their treatments on sexual behaviors.
3.20.1,3,1,Sensation and Perception,20,Sensation and Perception,1,Differentiate the processes of sensation and perception.
3.20.2,3,1,Sensation and Perception,20,Sensation and Perception,2,Explain the basic principles of sensation and perception.
3.20.3,3,1,Sensation and Perception,20,Sensation and Perception,3,Describe the function of each of our senses.
3.20.4,3,1,Sensation and Perception,20,Sensation and Perception,4,Outline the anatomy of the sense organs and their projections to the nervous system.
3.20.5,3,1,Sensation and Perception,20,Sensation and Perception,5,Apply knowledge of sensation and perception to real world examples.
3.20.6,3,1,Sensation and Perception,20,Sensation and Perception,6,Explain the consequences of multimodal perception.
3.21.1,3,2,Sensation and Perception,21,Vision,1,Describe how the eye transforms light information into neural energy.
3.21.2,3,2,Sensation and Perception,21,Vision,2,Understand what sorts of information the brain is interested in extracting from the environment and why it is useful.
3.21.3,3,2,Sensation and Perception,21,Vision,3,Describe how the visual system has adapted to deal with different lighting conditions.
3.21.4,3,2,Sensation and Perception,21,Vision,4,Understand the value of having two eyes.
3.21.5,3,2,Sensation and Perception,21,Vision,5,Understand why we have color vision.
3.21.6,3,2,Sensation and Perception,21,Vision,6,Understand the interdependence between vision and other brain functions.
3.22.1,3,3,Sensation and Perception,22,Hearing,1,Describe the basic auditory attributes of sound.
3.22.2,3,3,Sensation and Perception,22,Hearing,2,Describe the structure and general function of the auditory pathways from the outer ear to the auditory cortex.
3.22.3,3,3,Sensation and Perception,22,Hearing,3,Discuss ways in which we are able to locate sounds in space.
3.22.4,3,3,Sensation and Perception,22,Hearing,4,Describe various acoustic cues that contribute to our ability to perceptually segregate simultaneously arriving sounds.
3.23.1,3,4,Sensation and Perception,23,Taste and Smell,1,Explain the salient properties of taste and smell that help solve the omnivore’s dilemma.
3.23.2,3,4,Sensation and Perception,23,Taste and Smell,2,Distinguish between the way pleasure/displeasure is produced by smells and tastes.
3.23.3,3,4,Sensation and Perception,23,Taste and Smell,3,Explain how taste damage can have extensive unexpected consequences.
3.24.1,3,5,Sensation and Perception,24,Touch and Pain,1,Describe the transduction of somatosensory signals: The properties of the receptor types as well as the difference in the properties of C-afferents and A-afferents and what functions these are thought to have.
3.24.2,3,5,Sensation and Perception,24,Touch and Pain,2,Describe the social touch hypothesis and the role of affective touch in development and bonding.
3.24.3,3,5,Sensation and Perception,24,Touch and Pain,3,"Explain the motivation–decision model and descending modulation of pain, and give examples on how this circuitry can promote survival."
3.24.4,3,5,Sensation and Perception,24,Touch and Pain,4,Explain how expectations and context affect pain and touch experiences.
3.25.1,3,6,Sensation and Perception,25,The Vestibular System,1,Define the basic structures of the vestibular receptor system.
3.25.2,3,6,Sensation and Perception,25,The Vestibular System,2,"Describe the neuroanatomy of the vestibuloocular, vestibulospinal, and vestibulo-thalamocortical pathways."
3.25.3,3,6,Sensation and Perception,25,The Vestibular System,3,Describe the vestibular commissural system.
3.25.4,3,6,Sensation and Perception,25,The Vestibular System,4,Describe the different multisensory cortical areas for motion perception.
3.26.1,3,7,Sensation and Perception,26,Time and Culture,1,Understand how cultures differ in the views of time and the importance of these differences for social behavior.
3.26.2,3,7,Sensation and Perception,26,Time and Culture,2,Explore major components of social time.
3.26.3,3,7,Sensation and Perception,26,Time and Culture,3,Use these concepts to better understand the hidden dimensions of culture.
3.27.1,3,8,Sensation and Perception,27,Failures of Awareness: The Case of Inattentional Blindness,1,Learn about inattentional blindness and why it occurs.
3.27.2,3,8,Sensation and Perception,27,Failures of Awareness: The Case of Inattentional Blindness,2,Identify ways in which failures of awareness are counterintuitive.
3.27.3,3,8,Sensation and Perception,27,Failures of Awareness: The Case of Inattentional Blindness,3,Better understand the link between focused attention and failures of awareness.
3.28.1,3,9,Sensation and Perception,28,Multi-Modal Perception,1,Define the basic terminology and basic principles of multimodal perception.
3.28.2,3,9,Sensation and Perception,28,Multi-Modal Perception,2,Describe the neuroanatomy of multisensory integration and name some of the regions of the cortex and midbrain that have been implicated in multisensory processing.
3.28.3,3,9,Sensation and Perception,28,Multi-Modal Perception,3,Explain the difference between multimodal phenomena and crossmodal phenomena.
3.28.4,3,9,Sensation and Perception,28,Multi-Modal Perception,4,Give examples of multimodal and crossmodal behavioral effects.
3.29.1,3,10,Sensation and Perception,29,Eyewitness Testimony and Memory Biases,1,Describe the kinds of mistakes that eyewitnesses commonly make and some of the ways that this can impede justice.
3.29.2,3,10,Sensation and Perception,29,Eyewitness Testimony and Memory Biases,2,Explain some of the errors that are common in human memory.
3.29.3,3,10,Sensation and Perception,29,Eyewitness Testimony and Memory Biases,3,Describe some of the important research that has demonstrated human memory errors and their consequences.
4.30.1,4,1,Development,30,Research Methods in Developmental Psychology,1,Describe different research methods used to study infant and child development
4.30.2,4,1,Development,30,Research Methods in Developmental Psychology,2,"Discuss different research designs, as well as their strengths and limitations"
4.30.3,4,1,Development,30,Research Methods in Developmental Psychology,3,Report on the unique challenges associated with conducting developmental research
4.31.1,4,2,Development,31,Cognitive Development in Childhood,1,Be able to identify and describe the main areas of cognitive development.
4.31.2,4,2,Development,31,Cognitive Development in Childhood,2,Be able to describe major theories of cognitive development and what distinguishes them.
4.31.3,4,2,Development,31,Cognitive Development in Childhood,3,Understand how nature and nurture work together to produce cognitive development.
4.31.4,4,2,Development,31,Cognitive Development in Childhood,4,Understand why cognitive development is sometimes viewed as discontinuous and sometimes as continuous.
4.31.5,4,2,Development,31,Cognitive Development in Childhood,5,Know some ways in which research on cognitive development is being used to improve education.
4.32.1,4,3,Development,32,Social and Personality Development in Childhood,1,"Provide specific examples of how the interaction of social experience, biological maturation, and the child’s representations of experience and the self provide the basis for growth in social and personality development."
4.32.2,4,3,Development,32,Social and Personality Development in Childhood,2,Describe the significant contributions of parent–child and peer relationships to the development of social skills and personality in childhood.
4.32.3,4,3,Development,32,Social and Personality Development in Childhood,3,"Explain how achievements in social understanding occur in childhood. Moreover, do scientists believe that infants and young children are egocentric?"
4.32.4,4,3,Development,32,Social and Personality Development in Childhood,4,Describe the association of temperament with personality development.
4.32.5,4,3,Development,32,Social and Personality Development in Childhood,5,Explain what is “social and emotional competence“ and provide some examples of how it develops in childhood.
4.33.1,4,4,Development,33,Adolescent Development,1,"Describe major features of physical, cognitive, and social development during adolescence."
4.33.2,4,4,Development,33,Adolescent Development,2,Understand why adolescence is a period of heightened risk taking.
4.33.3,4,4,Development,33,Adolescent Development,3,Be able to explain sources of diversity in adolescent development.
4.34.1,4,5,Development,34,Attachment Through the Life Course,1,Explain the way the attachment system works and its evolutionary significance.
4.34.2,4,5,Development,34,Attachment Through the Life Course,2,Identify three commonly studied attachment patterns and what is known about the development of those patterns.
4.34.3,4,5,Development,34,Attachment Through the Life Course,3,Describe what is known about the consequences of secure versus insecure attachment in adult relationships.
4.35.1,4,6,Development,35,Emerging Adulthood,1,"Explain where, when, and why a new life stage of emerging adulthood appeared over the past half-century."
4.35.2,4,6,Development,35,Emerging Adulthood,2,Identify the five features that distinguish emerging adulthood from other life stages.
4.35.3,4,6,Development,35,Emerging Adulthood,3,Describe the variations in emerging adulthood in countries around the world.
4.36.1,4,7,Development,36,The Developing Parent,1,Identify and describe the stages of parenthood.
4.36.2,4,7,Development,36,The Developing Parent,2,Identify and describe the influences on parenting.
4.37.1,4,8,Development,37,Aging,1,Explain research approaches to studying aging.
4.37.2,4,8,Development,37,Aging,2,"Describe cognitive, psychosocial, and physical changes that occur with age."
4.37.3,4,8,Development,37,Aging,3,Provide examples of how age-related changes in these domains are observed in the context of everyday life.
5.38.1,5,1,Cognition and Language,38,Attention,1,Understand why selective attention is important and how it can be studied.
5.38.2,5,1,Cognition and Language,38,Attention,2,Learn about different models of when and how selection can occur.
5.38.3,5,1,Cognition and Language,38,Attention,3,"Understand how divided attention or multitasking is studied, and implications of multitasking in situations such as distracted driving."
5.39.1,5,2,Cognition and Language,39,States of Consciousness,1,Define consciousness and distinguish between high and low conscious states
5.39.2,5,2,Cognition and Language,39,States of Consciousness,2,Explain the relationship between consciousness and bias
5.39.3,5,2,Cognition and Language,39,States of Consciousness,3,Understand the difference between popular portrayals of hypnosis and how it is currently used therapeutically
5.40.1,5,3,Cognition and Language,40,Consciousness,1,Understand scientific approaches to comprehending consciousness.
5.40.2,5,3,Cognition and Language,40,Consciousness,2,"Be familiar with evidence about human vision, memory, body awareness, and decision making relevant to the study of consciousness."
5.40.3,5,3,Cognition and Language,40,Consciousness,3,Appreciate some contemporary theories about consciousness.
5.41.1,5,4,Cognition and Language,41,The Unconscious,1,Understand the logic underlying the assumption that unconscious processes are important.
5.41.2,5,4,Cognition and Language,41,The Unconscious,2,Obtain a basic understanding of some important historical thoughts about unconscious processes.
5.41.3,5,4,Cognition and Language,41,The Unconscious,3,Learn about some of the important psychological experiments on the unconscious.
5.41.4,5,4,Cognition and Language,41,The Unconscious,4,Appreciate the distinction between consciousness and attention.
5.42.1,5,5,Cognition and Language,42,Categories and Concepts,1,Understand the problems with attempting to define categories.
5.42.2,5,5,Cognition and Language,42,Categories and Concepts,2,Understand typicality and fuzzy category boundaries.
5.42.3,5,5,Cognition and Language,42,Categories and Concepts,3,Learn about theories of the mental representation of concepts.
5.42.4,5,5,Cognition and Language,42,Categories and Concepts,4,Learn how knowledge may influence concept learning.
5.43.1,5,6,Cognition and Language,43,Intelligence,1,List at least two common strategies for measuring intelligence.
5.43.2,5,6,Cognition and Language,43,Intelligence,2,Name at least one “type” of intelligence.
5.43.3,5,6,Cognition and Language,43,Intelligence,3,Define intelligence in simple terms.
5.43.4,5,6,Cognition and Language,43,Intelligence,4,Explain the controversy relating to differences in intelligence between groups.
5.44.1,5,7,Cognition and Language,44,Judgment and Decision Making,1,Understand the systematic biases that affect our judgment and decision making.
5.44.2,5,7,Cognition and Language,44,Judgment and Decision Making,2,Develop strategies for making better decisions.
5.44.3,5,7,Cognition and Language,44,Judgment and Decision Making,3,Experience some of the biases through sample decisions.
5.45.1,5,8,Cognition and Language,45,Language and Language Use,1,Define basic terms used to describe language use.
5.45.2,5,8,Cognition and Language,45,Language and Language Use,2,Describe the process by which people can share new information by using language.
5.45.3,5,8,Cognition and Language,45,Language and Language Use,3,Characterize the typical content of conversation and its social implications.
5.45.4,5,8,Cognition and Language,45,Language and Language Use,4,Characterize psychological consequences of language use and give an example.
5.46.1,5,9,Cognition and Language,46,Theory of Mind,1,Explain what theory of mind is.
5.46.2,5,9,Cognition and Language,46,Theory of Mind,2,Enumerate the many domains of social life in which theory of mind is critical.
5.46.3,5,9,Cognition and Language,46,Theory of Mind,3,Describe some characteristics of how autistic individuals differ in their processing of others’ minds.
5.46.4,5,9,Cognition and Language,46,Theory of Mind,4,Describe and explain some of the many concepts and processes that comprise the human understanding of minds.
5.46.5,5,9,Cognition and Language,46,Theory of Mind,5,Have a basic understanding of how ordinary people explain unintentional and intentional behavior.
6.47.1,6,1,Learning and Memory,47,Factors Influencing Learning,1,Consider what kinds of activities constitute learning.
6.47.2,6,1,Learning and Memory,47,Factors Influencing Learning,2,Name multiple forms of learning.
6.47.3,6,1,Learning and Memory,47,Factors Influencing Learning,3,List some individual differences that affect learning.
6.47.4,6,1,Learning and Memory,47,Factors Influencing Learning,4,Describe the effect of various encoding activities on learning.
6.47.5,6,1,Learning and Memory,47,Factors Influencing Learning,5,Describe three general principles of learning.
6.48.1,6,2,Learning and Memory,48,Conditioning and Learning,1,Distinguish between classical (Pavlovian) conditioning and instrumental (operant) conditioning.
6.48.2,6,2,Learning and Memory,48,Conditioning and Learning,2,Understand some important facts about each that tell us how they work.
6.48.3,6,2,Learning and Memory,48,Conditioning and Learning,3,Understand how they work separately and together to influence human behavior in the world outside the laboratory.
6.48.4,6,2,Learning and Memory,48,Conditioning and Learning,4,Students will be able to list the four aspects of observational learning according to Social Learning Theory.
6.49.1,6,3,Learning and Memory,49,"Memory (Encoding, Storage, Retrieval)",1,"Define and note differences between the following forms of memory: working memory, episodic memory, semantic memory, collective memory."
6.49.2,6,3,Learning and Memory,49,"Memory (Encoding, Storage, Retrieval)",2,Describe the three stages in the process of learning and remembering.
6.49.3,6,3,Learning and Memory,49,"Memory (Encoding, Storage, Retrieval)",3,Describe strategies that can be used to enhance the original learning or encoding of information.
6.49.4,6,3,Learning and Memory,49,"Memory (Encoding, Storage, Retrieval)",4,Describe strategies that can improve the process of retrieval.
6.49.5,6,3,Learning and Memory,49,"Memory (Encoding, Storage, Retrieval)",5,"Describe why the classic mnemonic device, the method of loci, works so well."
6.50.1,6,4,Learning and Memory,50,Forgetting and Amnesia,1,Identify five reasons we forget and give examples of each.
6.50.2,6,4,Learning and Memory,50,Forgetting and Amnesia,2,Describe how forgetting can be viewed as an adaptive process.
6.50.3,6,4,Learning and Memory,50,Forgetting and Amnesia,3,Explain the difference between anterograde and retrograde amnesia.
7.51.1,7,1,Social,51,An Introduction to the Science of Social Psychology,1,Define social psychology and understand how it is different from other areas of psychology.
7.51.2,7,1,Social,51,An Introduction to the Science of Social Psychology,2,Understand “levels of analysis” and why this concept is important to science.
7.51.3,7,1,Social,51,An Introduction to the Science of Social Psychology,3,List at least three major areas of study in social psychology.
7.51.4,7,1,Social,51,An Introduction to the Science of Social Psychology,4,Define the “need to belong”.
7.52.1,7,2,Social,52,Research Methods in Social Psychology,1,Describe the key features of basic and complex experimental designs.
7.52.2,7,2,Social,52,Research Methods in Social Psychology,2,"Describe the key features of field experiments, naturalistic observation, and experience sampling techniques."
7.52.3,7,2,Social,52,Research Methods in Social Psychology,3,Describe survey research and explain the importance of obtaining a representative sample.
7.52.4,7,2,Social,52,Research Methods in Social Psychology,4,Describe the implicit association test and the use of priming.
7.52.5,7,2,Social,52,Research Methods in Social Psychology,5,Describe use of archival research techniques.
7.52.6,7,2,Social,52,Research Methods in Social Psychology,6,Explain five principles of ethical research that most concern social psychologists.
7.53.1,7,3,Social,53,Social Neuroscience,1,Define social neuroscience and describe its three major goals.
7.53.2,7,3,Social,53,Social Neuroscience,2,Describe how measures of brain activity such as EEG and fMRI are used to make inferences about social processes.
7.53.3,7,3,Social,53,Social Neuroscience,3,Discuss how social categorization occurs.
7.53.4,7,3,Social,53,Social Neuroscience,4,Describe how simulation may be used to make inferences about others.
7.53.5,7,3,Social,53,Social Neuroscience,5,Discuss the ways in which other people can cause stress and also protect us against stress.
7.54.1,7,4,Social,54,Social Cognition and Attitudes,1,Learn how we simplify the vast array of information in the world in a way that allows us to make decisions and navigate our environments efficiently.
7.54.2,7,4,Social,54,Social Cognition and Attitudes,2,Understand some of the social factors that influence how we reason.
7.54.3,7,4,Social,54,Social Cognition and Attitudes,3,"Determine if our reasoning processes are always conscious, and if not, what some of the effects of automatic/nonconscious cognition are."
7.54.4,7,4,Social,54,Social Cognition and Attitudes,4,"Understand the difference between explicit and implicit attitudes, and the implications they have for behavior."
7.55.1,7,5,Social,55,The Family,1,Understand the various family forms.
7.55.2,7,5,Social,55,The Family,2,Describe attachment theory.
7.55.3,7,5,Social,55,The Family,3,Identify different parenting styles.
7.55.4,7,5,Social,55,The Family,4,Know the typical developmental trajectory of families.
7.55.5,7,5,Social,55,The Family,5,"Understand cultural differences in dating, marriage, and divorce."
7.55.6,7,5,Social,55,The Family,6,Explain the influence of children and aging parents on families.
7.55.7,7,5,Social,55,The Family,7,Know concrete tips for increasing happiness within your family.
7.56.1,7,6,Social,56,Culture,1,Appreciate culture as an evolutionary adaptation common to all humans.
7.56.2,7,6,Social,56,Culture,2,Understand cultural processes as variable patterns rather than as fixed scripts.
7.56.3,7,6,Social,56,Culture,3,Understand the difference between cultural and cross-cultural research methods.
7.56.4,7,6,Social,56,Culture,4,"Appreciate cultural awareness as a source of personal well-being, social responsibility, and social harmony."
7.56.5,7,6,Social,56,Culture,5,Explain the difference between individualism and collectivism.
7.56.6,7,6,Social,56,Culture,6,Define “self-construal” and provide a real life example.
7.57.1,7,7,Social,57,Social Comparison,1,Understand the reasons people make social comparisons.
7.57.2,7,7,Social,57,Social Comparison,2,Identify consequences of social comparison.
7.57.3,7,7,Social,57,Social Comparison,3,Understand the Self-Evaluation Maintenance Model.
7.57.4,7,7,Social,57,Social Comparison,4,Explain situational factors that can affect social comparison.
7.58.1,7,8,Social,58,Persuasion: So Easily Fooled,1,Recognize the difference between the central and peripheral routes to persuasion.
7.58.2,7,8,Social,58,Persuasion: So Easily Fooled,2,"Understand the concepts of trigger features, fixed action patterns, heuristics, and mindless thinking, and how these processes are essential to our survival but, at the same time, leave us vulnerable to exploitation."
7.58.3,7,8,Social,58,Persuasion: So Easily Fooled,3,Understand some common “tricks” persuasion artists may use to take advantage of us.
7.58.4,7,8,Social,58,Persuasion: So Easily Fooled,4,Use this knowledge to make you less susceptible to unwanted persuasion.
7.59.1,7,9,Social,59,Conformity and Obedience,1,Become aware of how widespread conformity is in our lives and some of the ways each of us changes our attitudes and behavior to match the norm.
7.59.2,7,9,Social,59,Conformity and Obedience,2,Understand the two primary reasons why people often conform to perceived norms.
7.59.3,7,9,Social,59,Conformity and Obedience,3,Appreciate how obedience to authority has been examined in laboratory studies and some of the implications of the findings from these investigations.
